ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,ブリードアウト,塗布材料
SC0000100,1000m,製造,YC-08,27.11,50.1,0.9,120.05,122.02,1020.3,80,0.01011,89.05,False,A
SC0000101,500m,製造,YC-08,28.09,50.5,0.9,120.0,122.06,1020.1,830,0.01033,89.06,False,A
SC0000102,30m,製造,YC-08,27.87,50.7,0.9,120.0,122.39,1020.7,621,0.01056,89.07,False,A
SC0000103,1000m,製造,YC-08,27.91,50.4,0.9,120.18,122.22,1020.4,691,0.01055,89.05,False,A
SC0000104,1000m,製造,YC-08,28.49,50.7,0.9,120.0,122.05,1020.1,1137,0.01102,89.03,True,A
SC0000105,500m,製造,YC-08,27.58,50.4,0.9,120.0,122.05,1020.2,691,0.01076,89.1,False,A
SC0000106,1500m,製造,YC-08,28.0,50.5,0.9,120.0,122.02,1020.1,760,0.0103,89.03,False,A
SC0000107,1000m,製造,YC-08,28.3,50.6,0.9,120.36,122.36,1020.4,989,0.01039,89.05,False,A
SC0000108,1500m,製造,YC-08,27.42,50.3,0.9,120.05,122.01,1020.3,483,0.01077,89.07,False,A
SC0000109,500m,製造,YC-08,29.07,50.8,0.9,120.06,122.06,1020.1,743,0.01052,89.03,False,A
SC0000110,1200m,製造,YC-08,27.2,50.1,0.9,120.0,122.03,1020.1,150,0.01009,89.03,False,A
SC0000111,1000m,試作品,YC-08,27.62,50.3,0.9,120.0,122.01,1020.0,515,0.01033,89.02,False,A
SC0000112,1200m,試作品,YC-08,27.45,50.2,0.9,120.0,122.02,1020.0,337,0.0101,89.02,True,A
SC0000113,1500m,製造,YC-08,27.91,50.4,0.9,120.0,122.57,1020.8,691,0.01062,89.07,False,A
SC0000114,1500m,製造,YC-08,27.64,50.3,0.9,120.0,122.01,1020.4,483,0.01087,89.09,False,A
SC0000115,1200m,製造,YC-08,27.39,50.2,0.9,120.0,122.08,1020.2,344,0.01038,89.03,False,A
SC0000116,1200m,製造,YC-08,27.67,50.3,0.9,120.01,122.01,1020.0,510,0.01056,89.02,False,A
SC0000117,1000m,製造,YC-08,27.43,50.2,0.9,120.01,122.01,1020.0,674,0.01067,89.02,False,A
SC0000118,1000m,製造,YC-08,30.72,50.9,0.9,120.0,122.01,1020.2,1532,0.01198,89.05,False,A
SC0000119,1000m,製造,YC-08,28.04,50.5,0.9,120.09,122.01,1020.1,791,0.01118,89.06,False,A
SC0000120,1000m,製造,YC-08,30.54,51.4,0.9,120.05,122.05,1020.1,1746,0.01138,89.07,False,A
SC0000121,500m,製造,YC-08,28.64,50.8,0.9,120.45,122.45,1020.8,1246,0.01136,89.11,False,A
SC0000122,500m,製造,YC-08,27.72,50.2,0.9,120.09,122.05,1020.1,386,0.01035,89.03,False,A
SC0000123,1200m,製造,YC-08,28.3,50.6,0.9,120.05,122.09,1020.2,989,0.01098,89.05,False,A
SC0000124,1500m,試作品,YC-08,28.14,50.6,0.9,120.0,122.23,1020.4,892,0.01071,89.08,False,A
SC0000125,1000m,製造,YC-08,31.01,51.6,0.9,120.04,122.09,1020.2,1173,0.01081,89.04,False,A
SC0000126,1200m,製造,YC-08,27.82,50.4,0.9,120.0,122.01,1020.0,621,0.01037,89.04,False,A
SC0000127,1200m,製造,YC-08,27.51,50.2,0.9,120.01,122.02,1020.0,386,0.01027,89.05,False,A
SC0000128,1200m,製造,YC-08,28.15,50.3,0.9,120.13,122.13,1020.5,552,0.01049,89.08,False,A
SC0000129,500m,製造,YC-08,29.73,51.3,0.9,120.09,122.06,1020.2,2079,0.01268,89.38,False,A
SC0000130,1200m,製造,YC-08,27.73,50.3,0.9,120.12,122.01,1020.3,830,0.01165,89.07,False,A
SC0000131,300m,製造,YC-08,28.54,50.7,0.9,120.0,122.03,1020.4,1173,0.01105,89.05,False,A
SC0000132,1500m,製造,YC-08,27.71,50.2,0.9,120.0,122.02,1020.2,309,0.01012,89.03,False,A
SC0000133,1000m,製造部テスト,YC-08,27.91,50.4,0.9,120.01,122.02,1020.0,691,0.01069,89.03,False,A
SC0000134,1200m,製造,YC-08,28.08,50.3,0.9,120.0,122.05,1020.1,552,0.0106,89.06,False,A
SC0000135,1000m,製造,YC-08,28.05,50.5,0.9,120.01,122.03,1020.0,795,0.01047,89.03,False,A
SC0000136,1200m,製造,YC-08,27.5,50.5,0.9,120.0,122.0,1020.0,483,0.01048,89.02,False,A
SC0000137,1200m,製造,YC-08,29.6,50.7,0.9,120.0,122.1,1020.3,1107,0.01154,89.03,False,A
SC0000138,1200m,製造,YC-08,28.83,50.9,0.9,120.0,122.02,1020.1,1393,0.01097,89.04,False,A
SC0000139,500m,製造,YC-08,28.09,50.8,0.9,120.32,122.32,1021.1,1246,0.01111,89.07,False,A
SC0000140,1000m,試作品,YC-08,27.26,50.1,0.9,120.27,122.24,1020.6,1329,0.01171,89.05,False,A
SC0000141,500m,製造,YC-08,28.36,50.6,0.9,120.0,122.02,1020.0,1038,0.01144,89.04,True,A
SC0000142,1000m,製造,YC-08,28.4,50.6,0.9,120.14,122.01,1020.2,691,0.0113,89.06,False,A
SC0000143,1200m,製造,YC-08,28.51,50.7,0.9,120.08,122.17,1020.2,1147,0.01125,89.03,False,A
SC0000144,1000m,製造,YC-08,28.83,50.9,0.9,120.95,122.38,1021.0,1392,0.01179,89.08,False,A
SC0000145,1500m,製造,YC-08,27.55,50.3,0.9,120.0,122.06,1020.3,413,0.01058,89.04,False,A
SC0000146,1200m,試作品,YC-08,27.66,50.3,0.9,120.06,122.07,1020.2,830,0.01066,89.09,False,A
SC0000147,1000m,製造,YC-08,27.91,50.4,0.9,120.0,122.14,1020.2,691,0.01055,89.04,False,A
SC0000148,1200m,製造,YC-08,28.5,50.7,0.9,120.0,122.03,1020.0,1145,0.01102,89.04,False,A
SC0000149,1500m,製造,YC-08,28.09,50.5,0.9,120.0,122.02,1020.1,830,0.01082,89.04,False,A
SC0000150,1500m,製造,YC-08,27.23,50.1,0.9,120.0,122.03,1020.2,170,0.01015,89.03,False,A
SC0000151,1200m,製造,YC-08,28.16,50.5,0.9,120.0,122.05,1020.0,883,0.01079,89.03,False,A
SC0000152,500m,試作品,YC-08,27.54,50.4,0.9,120.0,122.05,1020.2,613,0.01049,89.05,False,A
SC0000153,1000m,製造,YC-08,28.73,50.8,0.9,120.0,122.12,1020.4,1315,0.01104,89.04,False,A
SC0000154,1000m,製造,YC-08,27.66,50.9,0.9,120.11,122.02,1020.4,1385,0.01137,89.07,False,A
SC0000155,1000m,製造,YC-08,28.11,50.5,0.9,120.02,122.02,1020.0,847,0.0105,89.03,False,A
SC0000156,1000m,製造,YC-08,27.13,50.1,0.9,120.0,122.04,1020.1,319,0.0103,89.1,False,A
SC0000157,1200m,製造,YC-08,29.27,51.1,0.9,120.53,122.35,1021.1,1728,0.0112,89.09,False,A
SC0000158,1000m,製造,YC-08,27.55,50.3,0.9,120.28,122.56,1021.2,413,0.01054,89.18,False,A
SC0000159,500m,製造,YC-08,29.82,51.4,0.9,120.0,122.15,1020.2,2287,0.01227,89.07,False,A
SC0000160,1200m,製造,YC-08,27.35,50.5,0.9,120.14,122.05,1020.2,887,0.0107,89.05,False,A
SC0000161,1200m,試作品,YC-08,27.25,50.1,0.9,120.0,122.0,1020.0,184,0.01022,89.01,False,A
SC0000162,1200m,製造,YC-08,33.45,51.4,0.9,120.17,122.24,1020.7,2287,0.01295,89.13,False,A
SC0000163,1200m,製造,YC-08,29.73,51.3,0.9,120.21,122.21,1021.0,2079,0.0133,89.08,False,A
SC0000164,1000m,試作品,YC-08,28.36,50.6,0.9,120.03,122.01,1020.0,1038,0.01082,89.03,False,A
SC0000165,1000m,試作品,YC-08,27.64,50.3,0.9,120.0,122.02,1020.1,483,0.01072,89.04,False,A
SC0000166,1000m,製造,YC-08,28.62,50.6,0.9,120.02,122.02,1020.0,948,0.01075,89.04,False,A
SC0000167,1200m,製造,YC-08,28.69,50.8,0.9,120.0,122.12,1020.4,1284,0.01178,89.04,False,A
SC0000168,1200m,製造,YC-08,27.39,50.2,0.9,120.0,122.28,1020.7,344,0.01065,89.06,False,A
SC0000169,1200m,製造,YC-08,27.55,50.3,0.9,120.0,122.09,1020.3,413,0.01058,89.08,False,A
SC0000170,1200m,製造,YC-08,28.43,50.9,0.9,120.0,122.03,1020.3,1385,0.0122,89.05,False,A
SC0000171,1200m,製造,YC-08,27.57,50.3,0.9,120.09,122.03,1020.1,431,0.01039,89.02,False,A
SC0000172,500m,製造,YC-08,27.43,50.1,0.9,120.03,122.02,1020.1,205,0.0101,89.04,False,A
SC0000173,1500m,製造,YC-08,27.23,50.1,0.9,120.0,122.01,1020.1,170,0.01014,89.03,False,A
SC0000174,500m,製造,YC-08,29.27,51.1,0.9,120.0,122.01,1020.0,1726,0.01068,89.05,False,A
SC0000175,1200m,製造,YC-08,29.26,50.9,0.9,120.0,122.05,1020.6,1385,0.01137,89.05,False,A
SC0000176,300m,製造,YC-08,27.35,50.1,0.9,120.0,122.11,1020.3,191,0.01048,89.1,False,A
SC0000177,300m,製造,YC-08,28.78,50.8,0.9,120.0,122.08,1020.1,1315,0.01091,89.09,False,A
SC0000178,1000m,製造,YC-08,27.22,50.3,0.9,120.05,122.09,1020.3,552,0.0106,89.05,False,A
SC0000179,1500m,製造,YC-08,28.05,50.5,0.9,120.0,122.01,1020.1,795,0.01118,89.04,False,A
SC0000180,1200m,製造,YC-08,28.32,50.5,0.9,120.01,122.01,1020.0,561,0.01067,89.02,False,A
SC0000181,500m,試作品,YC-08,29.0,50.9,0.9,120.0,122.04,1020.1,1524,0.01121,89.04,False,A
SC0000182,1000m,製造,YC-08,28.17,50.5,0.9,120.02,122.03,1020.1,639,0.0107,89.04,False,A
SC0000183,1000m,製造,YC-08,28.18,50.5,0.9,120.46,122.31,1021.3,900,0.01212,89.06,False,A
SC0000184,500m,製造,YC-08,27.73,50.3,0.9,120.05,122.02,1020.1,552,0.01049,89.03,False,A
SC0000185,1500m,製造,YC-08,29.54,51.2,0.9,120.0,122.07,1020.4,1940,0.01192,89.07,False,A
SC0000186,1200m,製造,YC-08,27.59,50.2,0.9,120.0,122.01,1020.0,240,0.01029,89.04,False,A
SC0000187,1500m,製造,YC-08,28.66,50.8,0.9,120.0,122.08,1020.3,1262,0.011,89.03,False,A
SC0000188,1200m,製造,YC-08,27.91,50.4,0.9,120.1,122.08,1020.4,691,0.01089,89.06,True,A
SC0000189,300m,製造,YC-08,29.15,51.0,0.9,120.11,122.09,1020.4,1640,0.01195,89.04,False,A
SC0000190,1500m,製造,YC-08,27.66,50.4,0.9,120.09,122.01,1020.2,663,0.01053,89.03,False,A
SC0000191,1200m,製造,YC-08,27.49,50.2,0.9,120.08,122.02,1020.4,372,0.01067,89.09,False,A
SC0000192,300m,製造,YC-08,27.95,51.8,0.901,120.0,122.3,1021.1,1995,0.01237,89.4,False,A
SC0000193,1000m,試作品,YC-08,27.89,50.4,0.9,120.01,122.01,1020.0,623,0.01013,89.02,False,A
SC0000194,1200m,製造,YC-08,27.24,50.3,0.9,120.0,122.04,1020.1,491,0.01039,89.07,False,A
SC0000195,1000m,製造,YC-08,28.82,50.9,0.9,120.24,122.05,1020.2,1385,0.01151,89.13,True,A
SC0000196,500m,製造,YC-08,28.43,50.7,0.9,120.0,122.01,1020.1,1090,0.01076,89.08,False,A
SC0000197,500m,製造,YC-08,27.1,50.0,0.9,120.19,122.04,1020.8,483,0.01062,89.06,False,A
SC0000198,1000m,製造,YC-08,27.67,50.3,0.9,120.0,122.01,1020.1,510,0.01046,89.02,False,A
SC0000199,1000m,試作品,YC-08,29.11,50.7,0.9,120.04,122.04,1020.1,1107,0.01187,89.05,False,A
SC0000200,1200m,製造,YC-08,28.0,50.5,0.9,120.0,122.02,1020.1,764,0.01106,89.03,False,A
SC0000201,1200m,製造,YC-08,,50.7,0.9,120.14,122.17,1020.7,1107,0.01121,89.05,False,A
SC0000202,1200m,製造,YC-08,27.83,50.4,0.9,120.0,122.09,1020.2,653,0.01065,89.03,False,A
SC0000203,1000m,製造,YC-08,29.0,50.9,0.9,120.05,122.05,1020.2,1524,0.01121,89.1,False,A
SC0000204,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.02,1020.0,691,0.01041,89.04,False,A
SC0000205,300m,製造,YC-08,28.48,50.6,0.9,120.04,122.03,1020.2,433,0.01145,89.08,False,A
SC0000206,1200m,製造,YC-08,28.53,50.4,0.9,120.05,122.1,1020.4,722,0.01072,89.03,False,A
SC0000207,1200m,製造,YC-08,28.76,50.3,0.9,120.0,122.05,1020.1,552,0.0106,89.06,False,A
SC0000208,1000m,製造,YC-08,28.45,50.7,0.9,120.05,122.05,1020.0,1107,0.01099,89.17,False,A
SC0000209,500m,製造,YC-08,28.74,50.8,0.9,120.01,122.02,1020.0,1329,0.01171,89.04,False,A
SC0000210,500m,製造,YC-08,28.49,50.7,0.9,120.0,122.03,1020.1,1138,0.01102,89.03,False,A
SC0000211,1200m,製造,YC-08,27.23,50.1,0.9,120.0,122.29,1020.8,170,0.01019,89.14,False,A
SC0000212,500m,試作品,YC-08,27.26,50.4,0.9,120.0,122.04,1020.2,916,0.01127,89.04,False,A
SC0000213,1000m,製造,YC-08,28.82,50.9,0.9,120.05,122.02,1020.1,1385,0.01096,89.05,True,A
SC0000214,1200m,製造,YC-08,28.56,50.6,0.901,120.0,122.02,1020.0,621,0.0108,89.05,False,A
SC0000215,100m,研究所テスト,YC-08,28.57,50.7,0.9,120.02,122.02,1020.0,1199,0.01119,89.03,False,A
SC0000216,1000m,製造,YC-08,28.09,50.5,0.9,120.14,122.03,1020.1,830,0.01066,89.07,False,A
SC0000217,1000m,製造,YC-08,27.04,50.1,0.9,120.0,122.09,1020.1,198,0.01012,89.02,False,A
SC0000218,500m,製造,YC-08,27.91,50.4,0.9,120.2,122.2,1020.7,691,0.01117,89.05,False,A
SC0000219,1200m,試作品,YC-08,28.36,50.6,0.9,120.0,122.02,1020.4,1038,0.01113,89.04,False,A
SC0000220,1000m,製造,YC-08,28.82,50.9,0.9,120.0,122.07,1020.2,1385,0.01316,89.09,True,A
SC0000221,1200m,製造,YC-08,27.45,50.2,0.9,120.0,122.01,1020.1,344,0.01034,89.06,False,A
SC0000222,1000m,製造,YC-08,27.91,50.4,0.9,120.04,122.02,1020.1,691,0.01069,89.03,False,A
SC0000223,500m,製造,YC-08,29.02,51.5,0.9,120.05,122.09,1020.2,2426,0.01361,89.09,False,A
SC0000224,1200m,製造,YC-08,27.73,50.4,0.9,120.0,122.04,1020.2,587,0.01117,89.04,True,A
SC0000225,1200m,製造,YC-08,28.36,50.6,0.9,120.0,122.5,1021.5,1038,0.01196,89.09,False,A
SC0000226,500m,製造,YC-08,28.39,50.5,0.9,120.0,122.03,1020.0,795,0.01095,89.06,False,A
SC0000227,1200m,製造,YC-08,28.45,51.5,0.9,120.0,122.39,1022.0,2426,0.01601,89.12,False,A
SC0000228,1200m,製造,YC-08,27.94,50.9,0.9,120.05,122.06,1020.2,1385,0.0111,89.18,False,A
SC0000229,500m,製造,YC-08,27.8,50.4,0.9,120.05,122.05,1020.1,608,0.01036,89.03,False,A
SC0000230,1500m,製造,YC-08,27.89,50.4,0.9,120.0,122.01,1020.2,677,0.01061,89.05,False,A
SC0000231,500m,製造,YC-08,27.91,50.4,0.9,120.0,122.05,1020.1,691,0.01048,89.03,False,A
SC0000232,1200m,製造,YC-08,27.38,50.3,0.9,120.09,122.03,1020.2,497,0.01089,89.06,False,A
SC0000233,1500m,製造,YC-08,27.79,50.4,0.9,120.01,122.03,1020.1,602,0.01096,89.02,False,A
SC0000234,1000m,製造,YC-08,31.02,51.6,0.9,120.01,122.02,1020.1,1367,0.01149,89.04,False,A
